instance;g;num_cities;city;prize;penalty;avg_distance;pa
atex3;2;32;16;93;93;332.645172;26.000677
atex3;2;32;17;60;60;474.322571;7.589772
atex3;2;32;18;79;79;332.645172;18.761734
atex3;2;32;19;5;5;190.967743;0.130912
atex3;2;32;20;21;21;332.645172;1.325737
atex3;2;32;21;94;94;474.322571;18.628674
atex3;2;32;22;56;56;332.645172;9.427463
atex3;2;32;23;60;60;190.967743;18.851351
atex3;2;32;24;53;53;332.645172;8.444433
atex3;2;32;25;31;31;474.322571;2.026047
atex3;2;32;26;47;47;332.645172;6.640709
atex3;2;32;27;89;89;190.967743;41.478210
atex3;2;32;28;98;98;332.645172;28.871605
atex3;2;32;29;62;62;190.967743;20.129053
atex3;2;32;30;17;17;332.645172;0.868794
atex3;2;32;31;76;76;474.322571;12.177367
atex3;5;32;0;0;99999999;332.645172;0.000000
atex3;5;32;1;30;30;190.967743;4.712838
atex3;5;32;2;49;49;332.645172;7.217901
atex3;5;32;3;85;85;474.322571;15.232250
atex3;5;32;4;32;32;332.645172;3.078355
atex3;5;32;5;39;39;190.967743;7.964696
atex3;5;32;6;2;2;332.645172;0.012025
atex3;5;32;7;93;93;474.322571;18.234426
atex3;5;32;8;94;94;332.645172;26.562838
atex3;5;32;9;52;52;190.967743;14.159459
atex3;5;32;10;96;96;332.645172;27.705196
atex3;5;32;11;51;51;474.322571;5.483610
atex3;5;32;12;48;48;332.645172;6.926299
atex3;5;32;13;26;26;474.322571;1.425190
atex3;5;32;14;3;3;332.645172;0.027056
atex3;5;32;15;30;30;190.967743;4.712838
atex3;5;32;16;93;93;332.645172;26.000677
atex3;5;32;17;60;60;474.322571;7.589772
atex3;5;32;18;79;79;332.645172;18.761734
atex3;5;32;19;5;5;190.967743;0.130912
atex3;5;32;20;21;21;332.645172;1.325737
atex3;5;32;21;94;94;474.322571;18.628674
atex3;5;32;22;56;56;332.645172;9.427463
atex3;5;32;23;60;60;190.967743;18.851351
atex3;5;32;24;53;53;332.645172;8.444433
atex3;5;32;25;31;31;474.322571;2.026047
atex3;5;32;26;47;47;332.645172;6.640709
atex3;5;32;27;89;89;190.967743;41.478210
atex3;5;32;28;98;98;332.645172;28.871605
atex3;5;32;29;62;62;190.967743;20.129053
atex3;5;32;30;17;17;332.645172;0.868794
atex3;5;32;31;76;76;474.322571;12.177367
atex3;8;32;0;0;99999999;332.645172;0.000000
atex3;8;32;1;30;30;190.967743;4.712838
atex3;8;32;2;49;49;332.645172;7.217901
atex3;8;32;3;85;85;474.322571;15.232250
atex3;8;32;4;32;32;332.645172;3.078355
atex3;8;32;5;39;39;190.967743;7.964696
atex3;8;32;6;2;2;332.645172;0.012025
atex3;8;32;7;93;93;474.322571;18.234426
atex3;8;32;8;94;94;332.645172;26.562838
atex3;8;32;9;52;52;190.967743;14.159459
atex3;8;32;10;96;96;332.645172;27.705196
atex3;8;32;11;51;51;474.322571;5.483610
atex3;8;32;12;48;48;332.645172;6.926299
atex3;8;32;13;26;26;474.322571;1.425190
atex3;8;32;14;3;3;332.645172;0.027056
atex3;8;32;15;30;30;190.967743;4.712838
atex3;8;32;16;93;93;332.645172;26.000677
atex3;8;32;17;60;60;474.322571;7.589772
atex3;8;32;18;79;79;332.645172;18.761734
atex3;8;32;19;5;5;190.967743;0.130912
atex3;8;32;20;21;21;332.645172;1.325737
atex3;8;32;21;94;94;474.322571;18.628674
atex3;8;32;22;56;56;332.645172;9.427463
atex3;8;32;23;60;60;190.967743;18.851351
atex3;8;32;24;53;53;332.645172;8.444433
atex3;8;32;25;31;31;474.322571;2.026047
atex3;8;32;26;47;47;332.645172;6.640709
atex3;8;32;27;89;89;190.967743;41.478210
atex3;8;32;28;98;98;332.645172;28.871605
atex3;8;32;29;62;62;190.967743;20.129053
atex3;8;32;30;17;17;332.645172;0.868794
atex3;8;32;31;76;76;474.322571;12.177367
atex4;2;48;0;0;99999999;355.531921;0.000000
atex4;2;48;1;95;95;364.851074;24.736120
atex4;2;48;2;18;18;355.531921;0.911311
atex4;2;48;3;95;95;307.276581;29.370934
atex4;2;48;4;24;24;355.531921;1.620108
atex4;2;48;5;13;13;307.276581;0.549993
atex4;2;48;6;43;43;355.531921;5.200658
atex4;2;48;7;11;11;364.851074;0.331642
atex4;2;48;8;72;72;391.361694;13.246058
atex4;2;48;9;43;43;307.276581;6.017380
atex4;2;48;10;81;81;391.361694;16.764544
atex4;2;48;11;87;87;338.808502;22.340054
atex4;2;48;12;2;2;391.361694;0.010221
atex4;2;48;13;100;100;338.808502;29.515198
atex4;2;48;14;63;63;391.361694;10.141514
atex4;2;48;15;76;76;307.276581;18.797398
atex4;2;48;16;27;27;324.234039;2.248376
atex4;2;48;17;70;70;337.936157;14.499781
atex4;2;48;18;57;57;337.936157;9.614242
atex4;2;48;19;56;56;324.234039;9.672026
atex4;2;48;20;91;91;324.234039;25.540194
atex4;2;48;21;84;84;337.936157;20.879683
atex4;2;48;22;90;90;337.936157;23.969025
atex4;2;48;23;2;2;324.234039;0.012337
atex4;2;48;24;92;92;393.063843;21.533398
atex4;2;48;25;34;34;309.063843;3.740328
atex4;2;48;26;8;8;393.063843;0.162823
atex4;2;48;27;16;16;340.595734;0.751624
atex4;2;48;28;69;69;357.234070;13.327396
atex4;2;48;29;42;42;366.638306;4.811281
atex4;2;48;30;38;38;357.234070;4.042168
atex4;2;48;31;21;21;309.063843;1.426890
atex4;2;48;32;100;100;357.234070;27.992851
atex4;2;48;33;56;56;309.063843;10.146770
atex4;2;48;34;15;15;357.234070;0.629839
atex4;2;48;35;24;24;366.638306;1.571031
atex4;2;48;36;69;69;393.063843;12.112536
atex4;2;48;37;22;22;340.595734;1.421040
atex4;2;48;38;34;34;393.063843;2.940998
atex4;2;48;39;4;4;309.063843;0.051769
atex4;2;48;40;64;64;325.936157;12.566878
atex4;2;48;41;78;78;339.638306;17.913174
atex4;2;48;42;90;90;339.638306;23.848900
atex4;2;48;43;29;29;325.936157;2.580260
atex4;2;48;44;41;41;325.936157;5.157452
atex4;2;48;45;16;16;339.638306;0.753743
atex4;2;48;46;5;5;339.638306;0.073608
atex4;2;48;47;68;68;325.936157;14.186828
atex4;5;48;0;0;99999999;355.531921;0.000000
atex4;5;48;1;95;95;364.851074;24.736120
atex4;5;48;2;18;18;355.531921;0.911311
atex4;5;48;3;95;95;307.276581;29.370934
atex4;5;48;4;24;24;355.531921;1.620108
atex4;5;48;5;13;13;307.276581;0.549993
atex4;5;48;6;43;43;355.531921;5.200658
atex4;5;48;7;11;11;364.851074;0.331642
atex4;5;48;8;72;72;391.361694;13.246058
atex4;5;48;9;43;43;307.276581;6.017380
atex4;5;48;10;81;81;391.361694;16.764544
atex4;5;48;11;87;87;338.808502;22.340054
atex4;5;48;12;2;2;391.361694;0.010221
atex4;5;48;13;100;100;338.808502;29.515198
atex4;5;48;14;63;63;391.361694;10.141514
atex4;5;48;15;76;76;307.276581;18.797398
atex4;5;48;16;27;27;324.234039;2.248376
atex4;5;48;17;70;70;337.936157;14.499781
atex4;5;48;18;57;57;337.936157;9.614242
atex4;5;48;19;56;56;324.234039;9.672026
atex4;5;48;20;91;91;324.234039;25.540194
atex4;5;48;21;84;84;337.936157;20.879683
atex4;5;48;22;90;90;337.936157;23.969025
atex4;5;48;23;2;2;324.234039;0.012337
atex4;5;48;24;92;92;393.063843;21.533398
atex4;5;48;25;34;34;309.063843;3.740328
atex4;5;48;26;8;8;393.063843;0.162823
atex4;5;48;27;16;16;340.595734;0.751624
atex4;5;48;28;69;69;357.234070;13.327396
atex4;5;48;29;42;42;366.638306;4.811281
atex4;5;48;30;38;38;357.234070;4.042168
atex4;5;48;31;21;21;309.063843;1.426890
atex4;5;48;32;100;100;357.234070;27.992851
atex4;5;48;33;56;56;309.063843;10.146770
atex4;5;48;34;15;15;357.234070;0.629839
atex4;5;48;35;24;24;366.638306;1.571031
atex4;5;48;36;69;69;393.063843;12.112536
atex4;5;48;37;22;22;340.595734;1.421040
atex4;5;48;38;34;34;393.063843;2.940998
atex4;5;48;39;4;4;309.063843;0.051769
atex4;5;48;40;64;64;325.936157;12.566878
atex4;5;48;41;78;78;339.638306;17.913174
atex4;5;48;42;90;90;339.638306;23.848900
atex4;5;48;43;29;29;325.936157;2.580260
atex4;5;48;44;41;41;325.936157;5.157452
atex4;5;48;45;16;16;339.638306;0.753743
atex4;5;48;46;5;5;339.638306;0.073608
atex4;5;48;47;68;68;325.936157;14.186828
atex4;8;48;0;0;99999999;355.531921;0.000000
atex4;8;48;1;95;95;364.851074;24.736120
atex4;8;48;2;18;18;355.531921;0.911311
atex4;8;48;3;95;95;307.276581;29.370934
atex4;8;48;4;24;24;355.531921;1.620108
atex4;8;48;5;13;13;307.276581;0.549993
atex4;8;48;6;43;43;355.531921;5.200658
atex4;8;48;7;11;11;364.851074;0.331642
atex4;8;48;8;72;72;391.361694;13.246058
atex4;8;48;9;43;43;307.276581;6.017380
atex4;8;48;10;81;81;391.361694;16.764544
atex4;8;48;11;87;87;338.808502;22.340054
atex4;8;48;12;2;2;391.361694;0.010221
atex4;8;48;13;100;100;338.808502;29.515198
atex4;8;48;14;63;63;391.361694;10.141514
atex4;8;48;15;76;76;307.276581;18.797398
atex4;8;48;16;27;27;324.234039;2.248376
atex4;8;48;17;70;70;337.936157;14.499781
atex4;8;48;18;57;57;337.936157;9.614242
atex4;8;48;19;56;56;324.234039;9.672026
atex4;8;48;20;91;91;324.234039;25.540194
atex4;8;48;21;84;84;337.936157;20.879683
atex4;8;48;22;90;90;337.936157;23.969025
atex4;8;48;23;2;2;324.234039;0.012337
atex4;8;48;24;92;92;393.063843;21.533398
atex4;8;48;25;34;34;309.063843;3.740328
atex4;8;48;26;8;8;393.063843;0.162823
atex4;8;48;27;16;16;340.595734;0.751624
atex4;8;48;28;69;69;357.234070;13.327396
atex4;8;48;29;42;42;366.638306;4.811281
atex4;8;48;30;38;38;357.234070;4.042168
atex4;8;48;31;21;21;309.063843;1.426890
atex4;8;48;32;100;100;357.234070;27.992851
atex4;8;48;33;56;56;309.063843;10.146770
atex4;8;48;34;15;15;357.234070;0.629839
atex4;8;48;35;24;24;366.638306;1.571031
atex4;8;48;36;69;69;393.063843;12.112536
atex4;8;48;37;22;22;340.595734;1.421040
atex4;8;48;38;34;34;393.063843;2.940998
atex4;8;48;39;4;4;309.063843;0.051769
atex4;8;48;40;64;64;325.936157;12.566878
atex4;8;48;41;78;78;339.638306;17.913174
atex4;8;48;42;90;90;339.638306;23.848900
atex4;8;48;43;29;29;325.936157;2.580260
atex4;8;48;44;41;41;325.936157;5.157452
atex4;8;48;45;16;16;339.638306;0.753743
atex4;8;48;46;5;5;339.638306;0.073608
atex4;8;48;47;68;68;325.936157;14.186828
atex5;2;72;0;0;99999999;436.000000;0.000000
atex5;2;72;1;86;86;289.943665;25.508404
atex5;2;72;2;52;52;453.056335;5.968353
atex5;2;72;3;95;95;595.338013;15.159455
atex5;2;72;4;91;91;386.140869;21.445541
atex5;2;72;5;74;74;289.943665;18.886427
atex5;2;72;6;14;14;445.943665;0.439517
atex5;2;72;7;52;52;486.746460;5.555254
atex5;2;72;8;57;57;371.098572;8.755086
atex5;2;72;9;36;36;389.352112;3.328607
atex5;2;72;10;40;40;453.704224;3.526527
atex5;2;72;11;40;40;449.084534;3.562804
atex5;2;72;12;99;99;385.802795;25.404171
atex5;2;72;13;96;96;289.802795;31.800936
atex5;2;72;14;33;33;445.802826;2.442784
atex5;2;72;15;46;46;486.507019;4.349372
atex5;2;72;16;12;12;385.802795;0.373248
atex5;2;72;17;30;30;486.507019;1.849922
atex5;2;72;18;22;22;445.802826;1.085682
atex5;2;72;19;91;91;289.802795;28.574604
atex5;2;72;20;72;72;419.380310;12.361095
atex5;2;72;21;26;26;479.661987;1.409326
atex5;2;72;22;2;2;479.661987;0.008339
atex5;2;72;23;22;22;419.380310;1.154084
atex5;2;72;24;23;23;436.000000;1.213303
atex5;2;72;25;42;42;595.338013;2.963023
atex5;2;72;26;62;62;453.056335;8.484596
atex5;2;72;27;43;43;289.943665;6.377101
atex5;2;72;28;2;2;386.140869;0.010359
atex5;2;72;29;50;50;486.746460;5.136144
atex5;2;72;30;45;45;445.943665;4.540932
atex5;2;72;31;90;90;289.943665;27.936460
atex5;2;72;32;35;35;449.084534;2.727772
atex5;2;72;33;59;59;453.704224;7.672400
atex5;2;72;34;47;47;389.352112;5.673528
atex5;2;72;35;89;89;371.098572;21.344732
atex5;2;72;36;96;96;436.535217;21.111698
atex5;2;72;37;61;61;595.873230;6.244617
atex5;2;72;38;4;4;453.591553;0.035274
atex5;2;72;39;53;53;290.478882;9.670238
atex5;2;72;40;97;97;436.535217;21.553816
atex5;2;72;41;44;44;290.478882;6.664856
atex5;2;72;42;92;92;453.591553;18.659960
atex5;2;72;43;58;58;595.873230;5.645496
atex5;2;72;44;3;3;563.070435;0.015984
atex5;2;72;45;88;88;407.492950;19.004009
atex5;2;72;46;68;68;431.957764;10.704750
atex5;2;72;47;14;14;519.070435;0.377598
atex5;2;72;48;81;81;372.028168;17.635761
atex5;2;72;49;89;89;390.366211;20.291203
atex5;2;72;50;68;68;454.661987;10.170193
atex5;2;72;51;16;16;450.000000;0.568889
atex5;2;72;52;15;15;562.366211;0.400095
atex5;2;72;53;34;34;406.788757;2.841770
atex5;2;72;54;37;37;431.253540;3.174467
atex5;2;72;55;38;38;518.591553;2.784465
atex5;2;72;56;75;75;562.366211;10.002379
atex5;2;72;57;63;63;518.591553;7.653422
atex5;2;72;58;80;80;431.253540;14.840458
atex5;2;72;59;40;40;406.788757;3.933245
atex5;2;72;60;12;12;419.380280;0.343364
atex5;2;72;61;88;88;479.661987;16.144703
atex5;2;72;62;29;29;479.661987;1.753318
atex5;2;72;63;10;10;419.380280;0.238447
atex5;2;72;64;47;47;563.070435;3.923133
atex5;2;72;65;76;76;519.070435;11.127584
atex5;2;72;66;99;99;431.957764;22.689718
atex5;2;72;67;43;43;407.492950;4.537502
atex5;2;72;68;100;100;450.000000;22.222221
atex5;2;72;69;2;2;454.661987;0.008798
atex5;2;72;70;95;95;390.366211;23.119316
atex5;2;72;71;60;60;372.028168;9.676686
atex5;5;72;0;0;99999999;436.000000;0.000000
atex5;5;72;1;86;86;289.943665;25.508404
atex5;5;72;2;52;52;453.056335;5.968353
atex5;5;72;3;95;95;595.338013;15.159455
atex5;5;72;4;91;91;386.140869;21.445541
atex5;5;72;5;74;74;289.943665;18.886427
atex5;5;72;6;14;14;445.943665;0.439517
atex5;5;72;7;52;52;486.746460;5.555254
atex5;5;72;8;57;57;371.098572;8.755086
atex5;5;72;9;36;36;389.352112;3.328607
atex5;5;72;10;40;40;453.704224;3.526527
atex5;5;72;11;40;40;449.084534;3.562804
atex5;5;72;12;99;99;385.802795;25.404171
atex5;5;72;13;96;96;289.802795;31.800936
atex5;5;72;14;33;33;445.802826;2.442784
atex5;5;72;15;46;46;486.507019;4.349372
atex5;5;72;16;12;12;385.802795;0.373248
atex5;5;72;17;30;30;486.507019;1.849922
atex5;5;72;18;22;22;445.802826;1.085682
atex5;5;72;19;91;91;289.802795;28.574604
atex5;5;72;20;72;72;419.380310;12.361095
atex5;5;72;21;26;26;479.661987;1.409326
atex5;5;72;22;2;2;479.661987;0.008339
atex5;5;72;23;22;22;419.380310;1.154084
atex5;5;72;24;23;23;436.000000;1.213303
atex5;5;72;25;42;42;595.338013;2.963023
atex5;5;72;26;62;62;453.056335;8.484596
atex5;5;72;27;43;43;289.943665;6.377101
atex5;5;72;28;2;2;386.140869;0.010359
atex5;5;72;29;50;50;486.746460;5.136144
atex5;5;72;30;45;45;445.943665;4.540932
atex5;5;72;31;90;90;289.943665;27.936460
atex5;5;72;32;35;35;449.084534;2.727772
atex5;5;72;33;59;59;453.704224;7.672400
atex5;5;72;34;47;47;389.352112;5.673528
atex5;5;72;35;89;89;371.098572;21.344732
atex5;5;72;36;96;96;436.535217;21.111698
atex5;5;72;37;61;61;595.873230;6.244617
atex5;5;72;38;4;4;453.591553;0.035274
atex5;5;72;39;53;53;290.478882;9.670238
atex5;5;72;40;97;97;436.535217;21.553816
atex5;5;72;41;44;44;290.478882;6.664856
atex5;5;72;42;92;92;453.591553;18.659960
atex5;5;72;43;58;58;595.873230;5.645496
atex5;5;72;44;3;3;563.070435;0.015984
atex5;5;72;45;88;88;407.492950;19.004009
atex5;5;72;46;68;68;431.957764;10.704750
atex5;5;72;47;14;14;519.070435;0.377598
atex5;5;72;48;81;81;372.028168;17.635761
atex5;5;72;49;89;89;390.366211;20.291203
atex5;5;72;50;68;68;454.661987;10.170193
atex5;5;72;51;16;16;450.000000;0.568889
atex5;5;72;52;15;15;562.366211;0.400095
atex5;5;72;53;34;34;406.788757;2.841770
atex5;5;72;54;37;37;431.253540;3.174467
atex5;5;72;55;38;38;518.591553;2.784465
atex5;5;72;56;75;75;562.366211;10.002379
atex5;5;72;57;63;63;518.591553;7.653422
atex5;5;72;58;80;80;431.253540;14.840458
atex5;5;72;59;40;40;406.788757;3.933245
atex5;5;72;60;12;12;419.380280;0.343364
atex5;5;72;61;88;88;479.661987;16.144703
atex5;5;72;62;29;29;479.661987;1.753318
atex5;5;72;63;10;10;419.380280;0.238447
atex5;5;72;64;47;47;563.070435;3.923133
atex5;5;72;65;76;76;519.070435;11.127584
atex5;5;72;66;99;99;431.957764;22.689718
atex5;5;72;67;43;43;407.492950;4.537502
atex5;5;72;68;100;100;450.000000;22.222221
atex5;5;72;69;2;2;454.661987;0.008798
atex5;5;72;70;95;95;390.366211;23.119316
atex5;5;72;71;60;60;372.028168;9.676686
atex5;8;72;0;0;99999999;436.000000;0.000000
atex5;8;72;1;86;86;289.943665;25.508404
atex5;8;72;2;52;52;453.056335;5.968353
atex5;8;72;3;95;95;595.338013;15.159455
atex5;8;72;4;91;91;386.140869;21.445541
atex5;8;72;5;74;74;289.943665;18.886427
atex5;8;72;6;14;14;445.943665;0.439517
atex5;8;72;7;52;52;486.746460;5.555254
atex5;8;72;8;57;57;371.098572;8.755086
atex5;8;72;9;36;36;389.352112;3.328607
atex5;8;72;10;40;40;453.704224;3.526527
atex5;8;72;11;40;40;449.084534;3.562804
atex5;8;72;12;99;99;385.802795;25.404171
atex5;8;72;13;96;96;289.802795;31.800936
atex5;8;72;14;33;33;445.802826;2.442784
atex5;8;72;15;46;46;486.507019;4.349372
atex5;8;72;16;12;12;385.802795;0.373248
atex5;8;72;17;30;30;486.507019;1.849922
atex5;8;72;18;22;22;445.802826;1.085682
atex5;8;72;19;91;91;289.802795;28.574604
atex5;8;72;20;72;72;419.380310;12.361095
atex5;8;72;21;26;26;479.661987;1.409326
atex5;8;72;22;2;2;479.661987;0.008339
atex5;8;72;23;22;22;419.380310;1.154084
atex5;8;72;24;23;23;436.000000;1.213303
atex5;8;72;25;42;42;595.338013;2.963023
atex5;8;72;26;62;62;453.056335;8.484596
atex5;8;72;27;43;43;289.943665;6.377101
atex5;8;72;28;2;2;386.140869;0.010359
atex5;8;72;29;50;50;486.746460;5.136144
atex5;8;72;30;45;45;445.943665;4.540932
atex5;8;72;31;90;90;289.943665;27.936460
atex5;8;72;32;35;35;449.084534;2.727772
atex5;8;72;33;59;59;453.704224;7.672400
atex5;8;72;34;47;47;389.352112;5.673528
atex5;8;72;35;89;89;371.098572;21.344732
atex5;8;72;36;96;96;436.535217;21.111698
atex5;8;72;37;61;61;595.873230;6.244617
atex5;8;72;38;4;4;453.591553;0.035274
atex5;8;72;39;53;53;290.478882;9.670238
atex5;8;72;40;97;97;436.535217;21.553816
atex5;8;72;41;44;44;290.478882;6.664856
atex5;8;72;42;92;92;453.591553;18.659960
atex5;8;72;43;58;58;595.873230;5.645496
atex5;8;72;44;3;3;563.070435;0.015984
atex5;8;72;45;88;88;407.492950;19.004009
atex5;8;72;46;68;68;431.957764;10.704750
atex5;8;72;47;14;14;519.070435;0.377598
atex5;8;72;48;81;81;372.028168;17.635761
atex5;8;72;49;89;89;390.366211;20.291203
atex5;8;72;50;68;68;454.661987;10.170193
atex5;8;72;51;16;16;450.000000;0.568889
atex5;8;72;52;15;15;562.366211;0.400095
atex5;8;72;53;34;34;406.788757;2.841770
atex5;8;72;54;37;37;431.253540;3.174467
atex5;8;72;55;38;38;518.591553;2.784465
atex5;8;72;56;75;75;562.366211;10.002379
atex5;8;72;57;63;63;518.591553;7.653422
atex5;8;72;58;80;80;431.253540;14.840458
atex5;8;72;59;40;40;406.788757;3.933245
atex5;8;72;60;12;12;419.380280;0.343364
atex5;8;72;61;88;88;479.661987;16.144703
atex5;8;72;62;29;29;479.661987;1.753318
atex5;8;72;63;10;10;419.380280;0.238447
atex5;8;72;64;47;47;563.070435;3.923133
atex5;8;72;65;76;76;519.070435;11.127584
atex5;8;72;66;99;99;431.957764;22.689718
atex5;8;72;67;43;43;407.492950;4.537502
atex5;8;72;68;100;100;450.000000;22.222221
atex5;8;72;69;2;2;454.661987;0.008798
atex5;8;72;70;95;95;390.366211;23.119316
atex5;8;72;71;60;60;372.028168;9.676686
br17;2;17;0;0;99999999;10.312500;0.000000
br17;2;17;1;64;58;9.687500;383.174194
br17;2;17;2;89;40;27.437500;129.749435
br17;2;17;3;54;37;30.875000;64.712547
br17;2;17;4;93;56;30.875000;168.680161
br17;2;17;5;94;68;11.375000;561.934082
br17;2;17;6;25;85;11.375000;186.813187
br17;2;17;7;71;80;8.500000;668.235291
br17;2;17;8;96;41;8.500000;463.058838
br17;2;17;9;19;81;9.687500;158.864517
br17;2;17;10;77;21;9.687500;166.916122
br17;2;17;11;77;97;10.312500;724.266663
br17;2;17;12;6;13;9.687500;8.051613
br17;2;17;13;55;43;27.437500;86.195900
br17;2;17;14;36;35;11.375000;110.769234
br17;2;17;15;87;47;11.375000;359.472534
br17;2;17;16;89;48;8.500000;502.588226
br17;5;17;0;0;99999999;10.312500;0.000000
br17;5;17;1;64;58;9.687500;383.174194
br17;5;17;2;89;40;27.437500;129.749435
br17;5;17;3;54;37;30.875000;64.712547
br17;5;17;4;93;56;30.875000;168.680161
br17;5;17;5;94;68;11.375000;561.934082
br17;5;17;6;25;85;11.375000;186.813187
br17;5;17;7;71;80;8.500000;668.235291
br17;5;17;8;96;41;8.500000;463.058838
br17;5;17;9;19;81;9.687500;158.864517
br17;5;17;10;77;21;9.687500;166.916122
br17;5;17;11;77;97;10.312500;724.266663
br17;5;17;12;6;13;9.687500;8.051613
br17;5;17;13;55;43;27.437500;86.195900
br17;5;17;14;36;35;11.375000;110.769234
br17;5;17;15;87;47;11.375000;359.472534
br17;5;17;16;89;48;8.500000;502.588226
br17;8;17;0;0;99999999;10.312500;0.000000
br17;8;17;1;64;58;9.687500;383.174194
br17;8;17;2;89;40;27.437500;129.749435
br17;8;17;3;54;37;30.875000;64.712547
br17;8;17;4;93;56;30.875000;168.680161
br17;8;17;5;94;68;11.375000;561.934082
br17;8;17;6;25;85;11.375000;186.813187
br17;8;17;7;71;80;8.500000;668.235291
br17;8;17;8;96;41;8.500000;463.058838
br17;8;17;9;19;81;9.687500;158.864517
br17;8;17;10;77;21;9.687500;166.916122
br17;8;17;11;77;97;10.312500;724.266663
br17;8;17;12;6;13;9.687500;8.051613
br17;8;17;13;55;43;27.437500;86.195900
br17;8;17;14;36;35;11.375000;110.769234
br17;8;17;15;87;47;11.375000;359.472534
br17;8;17;16;89;48;8.500000;502.588226
code198;2;198;0;0;99999999;497461248.000000;0.000000
code198;2;198;1;94;94;499999328.000000;0.000018
code198;2;198;2;23;23;2538134.500000;0.000208
code198;2;198;3;70;70;5076840.500000;0.000965
code198;2;198;4;74;74;5076207.500000;0.001079
code198;2;198;5;72;72;5077472.000000;0.001021
code198;2;198;6;42;42;5076834.500000;0.000347
code198;2;198;7;17;17;5076838.000000;0.000057
code198;2;198;8;43;43;5078749.500000;0.000364
code198;2;198;9;70;70;5076522.000000;0.000965
code198;2;198;10;69;69;5076521.500000;0.000938
code198;2;198;11;29;29;5076521.500000;0.000166
code198;2;198;12;12;12;5077157.000000;0.000028
code198;2;198;13;75;75;5076206.000000;0.001108
code198;2;198;14;57;57;5076205.500000;0.000640
code198;2;198;15;77;77;5076526.000000;0.001168
code198;2;198;16;91;91;5076837.500000;0.001631
code198;2;198;17;17;17;5076205.500000;0.000057
code198;2;198;18;53;53;5076836.000000;0.000553
code198;2;198;19;40;40;5076837.500000;0.000315
code198;2;198;20;27;27;5076205.500000;0.000144
code198;2;198;21;65;65;5076209.500000;0.000832
code198;2;198;22;18;18;5076206.000000;0.000064
code198;2;198;23;10;10;5076205.500000;0.000020
code198;2;198;24;74;74;5076206.000000;0.001079
